Word	Part of Speech	Origin	Definition
abacus	noun	Latin	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
abattoir	noun	French	a building where animals are butchered
abdicate	verb	Latin	"give up, such as power, as of monarchs and emperors, or duties and obligations"
aberrant	adjective	Latin	markedly different from an accepted norm
aberration	noun	Latin	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
abeyance	noun	Anglo-French	temporary cessation or suspension
abnegation	noun	Late Latin	renunciation of your own interests in favor of the interests of others
aborigine	noun	Latin	a dark-skinned member of a race of people living in Australia when Europeans arrived
abracadabra	noun	Late Latin	gibberish and nonsense
abscise	verb	Latin	remove or separate by abscission
abscissa	noun	New Latin	the value of a coordinate on the horizontal axis
abseil	noun	German	a descent down a nearly vertical surface by using a doubled rope that is coiled around the body and attached to some higher point
abstemious	adjective	Latin	sparing in consumption of especially food and drink
abstinence	noun	Middle English	act or practice of refraining from indulging an appetite
acacia	noun	New Latin	any of various spiny trees or shrubs of the genus Acacia
academia	noun	New Latin	the academic world
acanthus	noun	New Latin	any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers
accentuate	verb	Medieval Latin	put stress on
acciaccatura	noun	Italian	an embellishing note usually written in smaller size
accipiter	noun	New Latin	type genus of the family Accipitridae
accolade	noun	French	a tangible symbol signifying approval or distinction
accommodate	verb	Latin	make compatible with
accouchement	noun	French	the parturition process in human beings
accrued	adjective	Middle English	periodically accumulated over time
accumbent	adjective	Latin	lying down
accumulate	verb	Latin	collect or gather
acedia	noun	Late Latin	apathy and inactivity in the practice of virtue
acetabulum	noun	Latin	the cup-shaped hollow in the hipbone into which the head of the femur fits to form a ball-and-socket joint
acetaldehyde	noun	International Scientific Vocabulary	a colorless volatile water-soluble liquid aldehyde used chiefly in manufacture of acetic acid and perfumes and drugs
acetone	noun	German	the simplest ketone
acicular	adjective	Late Latin	narrow and long and pointed
acidosis	noun	New Latin	abnormally high acidity of the blood and other body tissues
acidulous	adjective	Latin	being sour to the taste
acolyte	noun	Middle English	someone who assists a priest or minister in a liturgical service
acrophobia	noun	New Latin	a morbid fear of great heights
